,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Course Grade Distribution - Summer 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Summer 2022 Courses Offered at Purdue - West Lafayette having more than 10 Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Run Date: Sep 16, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,
EM Analysis and Reporting,,,,Page Number: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,A,A-,A+,AU,B,B-,B+,C,C-,C+,D,D-,D+,E,F,I,N,P,PI,S,SI,U,W,WF
Subject,Subject Desc,Course Number,Title,Academic Period,Academic Period Desc,Section,CRN,Instructor,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total,% of Total
CHNS,CHNS-Chinese,10100,Chinese Level I,202230,Summer 2022,001,29656,"Hou, Siyan",18.8%,12.5%,43.8%,6.3%,,,,,,,,,,,6.3%,,,,,,,,12.5%,
CLCS,CLCS-Classics,18100,Classical Wrld Civiliz,202230,Summer 2022,001,31737,"Rauh, Nicholas K.",57.9%,10.5%,26.3%,,,5.3%,,,,,,,,,,,,,,,,,,
,,23500,Intr To Classical Myth,202230,Summer 2022,001,11360,"Dickson, Keith M.",19.4%,12.9%,,,22.6%,16.1%,6.5%,3.2%,,3.2%,,,6.5%,,6.5%,,,,,,,,3.2%,
CNIT,CNIT-Computer & Info Tech,10500,Intro To C Program,202230,Summer 2022,001,29561,"Salem, Tawfiq M.",11.1%,11.1%,5.6%,,33.3%,22.2%,5.6%,,,,,,,,,,,,,,,,11.1%,
,,13600,PC Tech & Applications,202230,Summer 2022,001,19443,"Laux, Dawn D.",39.5%,9.3%,,,7.0%,,11.6%,2.3%,2.3%,11.6%,,,,,2.3%,,,,,,,,14.0%,
,,17500,Visual Programming,202230,Summer 2022,001,24253,"Esmaeili, Ahmad",18.2%,27.3%,9.1%,,,,9.1%,,,,,,,,9.1%,,,,,,,,27.3%,
,,17600,Info Tech Architecture,202230,Summer 2022,001,29529,"Hands, Nicole M.",63.0%,,,,22.2%,,,3.7%,,,3.7%,,,,3.7%,,,,,,,,3.7%,
,,18000,Intro To Systems Devel,202230,Summer 2022,004,29550,"Josekutty Thomas, Paul",55.8%,,,,18.6%,,,11.6%,,,2.3%,,,,9.3%,,,,,,,,2.3%,
,,24200,System Administration,202230,Summer 2022,001,29541,"Rawles, Phillip T.",24.3%,2.7%,,,27.0%,13.5%,2.7%,5.4%,,2.7%,,,,,18.9%,,,,,,,,2.7%,
,,,System Administration-Honors,202230,Summer 2022,001,29541,"Rawles, Phillip T.",,100.0%,,,,,,,,,,,,,,,,,,,,,,
,,48000,Manag Info Tech Projct,202230,Summer 2022,001,13474,"Dittman, Kevin C.",26.1%,,,,47.8%,,,13.0%,,,4.3%,,,,,,,,,,,,8.7%,
,,,,,,002,14384,"Brewer, Jeffrey L.",12.0%,8.0%,,,36.0%,12.0%,12.0%,4.0%,,,4.0%,,,,8.0%,,,,,,,,4.0%,
,,58100,Large Event Mgmt & Plan HLS,202230,Summer 2022,004,33187,"Dietz, James E.",100.0%,,,,,,,,,,,,,,,,,,,,,,,
COM,COM-Communication,10200,Intro To Com Theory,202230,Summer 2022,002,22505,"Sypher, Howard E.",18.8%,12.5%,3.1%,,25.0%,3.1%,9.4%,3.1%,9.4%,6.3%,3.1%,,,,6.3%,,,,,,,,,
,,11400,Fundament Of Speech,202230,Summer 2022,102,22471,"Gerald, Maggie L.",41.7%,25.0%,,,16.7%,,8.3%,,,,,,,,,,,,,,,,8.3%,
,,,,,,308,10368,"Glidden, Austin T.",12.5%,12.5%,,,31.3%,,25.0%,6.3%,,,,,,,6.3%,,,,,,,,6.3%,
,,,,,,309,11188,"Kamal, Daniel",30.0%,15.0%,,,10.0%,15.0%,20.0%,10.0%,,,,,,,,,,,,,,,,
,,,,,,310,11189,"Lee, Tashina A.",68.4%,5.3%,,,5.3%,,5.3%,5.3%,,5.3%,,,,,,,,,,,,,5.3%,
,,,,,,312,25726,"Salazar, Hannah N.",66.7%,4.2%,,,12.5%,,,8.3%,,8.3%,,,,,,,,,,,,,,
,,,,,,313,25727,"Johnson, Joshua",41.7%,20.8%,,,16.7%,,12.5%,4.2%,,4.2%,,,,,,,,,,,,,,
,,,,,,315,25729,"Pedley, Storie P.",52.2%,4.3%,,,21.7%,,17.4%,,,,,4.3%,,,,,,,,,,,,
,,,,,,317,27533,"Lee, Tashina A.",50.0%,16.7%,,,5.6%,5.6%,5.6%,,5.6%,,,,5.6%,,5.6%,,,,,,,,,
,,,,,,318,27534,"Ramsey, Jessica N.",33.3%,27.8%,,,22.2%,,5.6%,,,5.6%,,5.6%,,,,,,,,,,,,
,,,,,,319,27535,"Miller, Leah M.",40.0%,10.0%,,,15.0%,,20.0%,5.0%,,,,,,,10.0%,,,,,,,,,
,,,,,,320,27536,"Mccool, Thomas L.",22.2%,33.3%,5.6%,,16.7%,5.6%,5.6%,5.6%,,,,,,,,,,,,,,,5.6%,
,,,,,,322,28436,"Stewart, Stephen R.",63.6%,4.5%,4.5%,,18.2%,,,4.5%,,,4.5%,,,,,,,,,,,,,
,,,,,,325,13917,"Watley, Kimberly J.",21.7%,26.1%,,,26.1%,8.7%,8.7%,,4.3%,,,,,,4.3%,,,,,,,,,
,,,,,,326,13918,"Wagner, Amy B.",79.2%,4.2%,,,4.2%,4.2%,8.3%,,,,,,,,,,,,,,,,,
